source_file,domain,document_title,document_number,issued_date,effective_date,expiry_date,status,replaced_by
CCCD/Luat_26_2023_QH15.txt,CCCD,Luat Can cuoc,26/2023/QH15,,,,unknown,
CCCD/Luat_59_2022_ND-CP.txt,CCCD,Nghi dinh ve dinh danh va xac thuc dien tu,59/2022/ND-CP,,,,unknown,
CCCD/NghiDinh_59_2014_QH13.txt,CCCD,Luat Can cuoc cong dan,59/2014/QH13,,,,unknown,
DatDai/Luat_31_2024_QH15.txt,DatDai,Luat Dat dai,31/2024/QH15,,,,unknown,
DatDai/Luat_45_2013_QH13.txt,DatDai,Luat Dat dai,45/2013/QH13,,,,unknown,
DatDai/NghiDinh_148_2020_ND-CP.txt,DatDai,Nghi dinh sua doi cac nghi dinh huong dan Luat Dat dai,148/2020/ND-CP,,,,unknown,
DatDai/NghiDinh_43_2014_ND-CP.txt,DatDai,Nghi dinh huong dan Luat Dat dai,43/2014/ND-CP,,,,unknown,
DoanhNghiep/Luat_59_2020_QH14.txt,DoanhNghiep,Luat Doanh nghiep,59/2020/QH14,,,,unknown,
DoanhNghiep/NghiDinh_168_2025_ND-CP.txt,DoanhNghiep,Nghi dinh ve dang ky doanh nghiep,168/2025/ND-CP,,,,unknown,
HoTich/Luat_60_2014_QH13.txt,HoTich,Luat Ho tich,60/2014/QH13,,,,unknown,
HoTich/NghiDinh_123_2015_ND-CP.txt,HoTich,Nghi dinh huong dan Luat Ho tich,123/2015/ND-CP,,,,unknown,
HoTich/NghiDinh_87_2020_ND-CP.txt,HoTich,Nghi dinh ve co so du lieu ho tich dien tu,87/2020/ND-CP,,,,unknown,
HoTich/ThongTu_04_2020_TT-BTP.txt,HoTich,Thong tu huong dan Luat Ho tich,04/2020/TT-BTP,,,,unknown,
Thue/91_2022_ND-CP_516302.txt,Thue,Nghi dinh sua doi mot so quy dinh ve thue,91/2022/ND-CP,,,,unknown,
Thue/Luat_38_2019_QH14.txt,Thue,Luat Quan ly thue,38/2019/QH14,,,,unknown,
Thue/NghiDinh_126_2020_ND-CP.txt,Thue,Nghi dinh huong dan Luat Quan ly thue,126/2020/ND-CP,,,,unknown,
Thue/ThongTu_40_2025_TT-BTC.txt,Thue,Thong tu ve thue,40/2025/TT-BTC,,,,unknown,
Thue/ThongTu_80_2021_TT-BTC.txt,Thue,Thong tu huong dan Luat Quan ly thue,80/2021/TT-BTC,,,,unknown,
Thue/ThongTu_86_2024_TT-BTC.txt,Thue,Thong tu ve dang ky thue,86/2024/TT-BTC,,,,unknown,
